ASF,FG,MN,ED,INV_LOG,ND,STD,Y
0,1,0,0,0.296000184,0,0,0
1,0,1,1,0.226717429,1,1,1
1,0,0,0,0.226996927,1,0,1
1,0,1,1,0.226721442,1,1,1
1,0,0.785959248,0.996725191,0.226972865,1,1,1
1,0,0,0,0.227270594,1,0.76955919,1
1,0,0,0,0.227521791,1,1,1
1,0,1,1,0.227152202,1,0.731952057,1
1,0,1,1,0.226730691,1,0.894738415,1
1,0,1,1,0.226813046,1,0,1
1,0,0.145744316,0.591531999,0.226761965,1,0,1
1,0,0.567021095,0.802948561,0.227513396,1,1,1
1,0,0,0,0.226871786,1,1,1
1,0,1,1,0.227481193,1,1,1
1,0,0,0,0.226949419,1,0.396843997,1
1,0,1,1,0.227019632,1,1,1
1,0,0,0,0.226968945,1,0,1
1,0,0.206157554,0.02844075,0.226674005,1,1,1
0,0,0,0,0.226256647,1,0,1
1,0,0.378033584,0.525620509,0.227015143,1,1,1
1,0,0.844019162,0.77162671,0.22666542,1,1,1
1,0,0,0,0.226707454,1,0.308360603,1
1,0,0.711635896,0.720517609,0.226898741,1,0.261145388,1
1,0,0.539149799,1,0.226945422,1,1,1
1,0,0.2183555,0.379296187,0.226513699,1,0.320295592,1
1,0,0.400294419,0.206122752,0.226959444,1,1,1
0,1,0,0,0.297821702,0,0,0
1,0,1,1,0.240466337,1,0,1
1,0,0,0,0.240339082,1,0,1
1,0,1,1,0.240311975,1,1,1
1,0,0.793389646,0.624538244,0.240015453,1,0,1
1,0,1,0.842564675,0.240279035,1,0.041402927,1
1,0,1,1,0.24068763,1,1,1
1,0,1,1,0.240591986,1,1,1
1,0,1,1,0.240060571,1,0.458453682,1
1,0,0.084294294,0.244916927,0.240428455,1,0,1
1,0,1,1,0.240514414,1,1,1
1,0,1,1,0.240599553,1,1,1
1,0,1,1,0.240410481,1,0,1
1,0,0.540555432,0.772579762,0.240639323,1,0,1
1,0,1,1,0.240769222,1,1,1
1,0,0.198830742,0,0.239606024,1,0,1
1,0,1,1,0.239724582,1,0.06998899,1
1,0,1,1,0.240017011,1,0.612365119,1
1,0,0.451923594,0.294288037,0.240258316,1,0,1
0,0,0,0,0.240069564,1,0,1
1,0,0.683432527,1,0.240351683,1,0.186235927,1
1,0,0,0,0.240696033,1,0,1
1,0,1,1,0.240551212,1,0.911288754,1
1,0,0,0,0.240532304,1,0,1
1,0,0,0,0.240456443,1,0,1
1,0,1,1,0.239723371,1,0.266644081,1
0,1,0,0,0.301709879,0,0,0
1,0,0.433587206,0.750744088,0.249368154,0.809072101,0,1
1,0,1,1,0.24943669,0.426842567,0.899613721,1
1,0,0,0,0.249153439,1,0,1
1,0,0,0,0.249415039,1,0.220629567,1
1,0,0,0,0.249705412,0.718679862,0,1
1,0,0.793821643,1,0.249543295,0.827455456,0.031155659,1
1,0,0.404409887,0.44142863,0.249607892,0.413910126,0,1
1,0,0.059495303,0.199055464,0.24972527,1,0,1
0,0,0,0,0.249609195,1,0,1
1,0,0,0,0.249516334,0.62243674,0,1
1,0,0,0,0.249592714,0.745673259,0.358940084,1
1,0,1,1,0.249622688,0.262125528,1,1
1,0,0.116068435,0.650862854,0.24889531,0.427870299,0,1
1,0,0.024474661,0.068210083,0.249407034,1,0.299548022,1
1,0,0,0,0.249171928,1,0.16457015,1
1,0,0,0,0.249760764,1,0.214378927,1
1,0,0.624719893,0.932717576,0.249825871,0.87022653,0.255597773,1
1,0,1,1,0.249348634,0.583150532,1,1
1,0,0.854039446,0.857097091,0.250094897,1,1,1
1,0,0,0.275007463,0.249883425,1,0,1
1,0,0.551337376,0.859554537,0.249269477,0.204446916,0,1
1,0,1,1,0.249968776,1,1,1
1,0,0,0.371656784,0.249723238,0.77104255,0,1
1,0,0.481084088,0.790253763,0.248804746,0.273919563,0,1
1,0,0.204962291,0.396988056,0.249546614,1,0.857779524,1
0,1,0,0,0.304130641,1,0,0
1,0,0,0,0.258120132,0,0.056086394,1
1,0,0.44985128,0.727230699,0.258146754,0,0,1
1,0,0,0,0.258406999,0,0.369333718,1
1,0,1,1,0.258635789,0,1,1
1,0,1,1,0.257591202,0,1,1
1,0,0.562120407,0.48189354,0.258508527,0,1,1
1,0,0.231448575,0.163699735,0.257891999,0,0.547157279,1
1,0,0,0,0.258160857,0,0,1
1,0,0,0.022300352,0.258124157,0,0,1
1,0,0.938310217,0.728296496,0.257809411,0,0.452923859,1
1,0,1,0.934947382,0.258359704,0,1,1
1,0,0.254419786,0.198684291,0.258819962,0,0.591193914,1
1,0,0,0,0.258516808,0,0.495656436,1
1,0,0,0,0.258051434,0,0.635562306,1
1,0,0,0,0.258066518,0,0,1
1,0,1,1,0.258221439,0,1,1
1,0,0,0,0.257561676,0,0,1
1,0,0.525826779,0.641282863,0.258288156,0,0,1
