ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
0,1,0,0,0.296000184,0,0,1.296000184,6.522717613,39.67301617,408.4018046,-3.930717245,2.501218473,2.655782943,0.104473651,0.07373308,0
1,0,1,1,0.226717429,1,1,5.226717429,7.453714356,39.37465013,408.2711052,2.999720502,-1.089332852,-1.108130492,0.001012637,0.001211825,1
1,0,0,0,0.226996927,1,0,2.226996927,7.453718369,40.10756183,408.3312392,-2.999724515,1.510548523,1.828666572,0.001352538,0.001357035,1
1,0,1,1,0.226721442,1,1,5.226721442,10.23637875,42.73441682,405.5223478,0.217064138,-0.942754526,-1.071070457,0.001332999,0.001379406,1
1,0,0.785959248,0.996725191,0.226972865,1,1,5.009657304,8.006487088,41.84632023,396.3197774,2.01282752,-0.746740855,-0.853930344,0.00131788,0.001413513,1
1,0,0,0,0.227270594,1,0.76955919,2.996829784,6.224351575,41.03068447,385.5109549,-0.230692007,1.109517813,0.920310787,0.00144003,0.001416891,1
1,0,0,0,0.227521791,1,1,3.227521791,8.18662605,42.36785423,376.6399356,-1.731582468,0.872267505,0.912637765,0.001489651,0.001395761,1
1,0,1,1,0.227152202,1,0.731952057,4.959104259,10.08057337,42.00558301,366.3551374,-0.162364847,-0.58532271,-0.918999987,0.001477762,0.001224148,1
1,0,1,1,0.226730691,1,0.894738415,5.121469106,9.348282152,40.37936263,357.1996348,0.89465606,-1.094134052,-1.23114803,0.001437727,0.001299436,1
1,0,1,1,0.226813046,1,0,4.226813046,7.190851326,38.88235508,353.6691165,1.262774766,-0.178275575,-0.726013215,0.001655854,0.001622153,1
1,0,0.145744316,0.591531999,0.226761965,1,0,2.96403828,7.561521332,39.54231681,354.189236,-1.633444772,0.763895265,0.52714717,0.001565392,0.001615232,1
1,0,0.567021095,0.802948561,0.227513396,1,1,4.597483052,7.824354838,39.43478405,352.0542509,1.370611266,-0.416953236,-0.918470301,0.001345646,0.001639578,1
1,0,0,0,0.226871786,1,1,3.226871786,8.454352979,37.29867047,347.7806175,-2.000609407,0.479555208,0.245899465,0.001068285,0.001405573,1
1,0,1,1,0.227481193,1,1,5.227481193,7.851274609,33.53184644,344.72612,2.603687777,-1.474174094,-1.685377357,0.001281616,0.001402754,1
1,0,0,0,0.226949419,1,0.396843997,2.623793416,7.850813048,31.03749772,343.2329591,-2.603226216,0.329268774,0.872171823,0.001405115,0.001052041,1
1,0,1,1,0.227019632,1,1,5.227019632,7.453988577,32.1596652,343.8042418,3.000050687,-1.972582278,-1.678987637,0.001449798,0.001101228,1
1,0,0,0,0.226968945,1,0,2.226968945,5.688241254,32.08305597,345.1737748,-1.234303364,0.950526741,1.181698748,0.001337815,0.001074503,1
1,0,0.206157554,0.02844075,0.226674005,1,1,3.461272309,4.687528956,32.85008041,349.2709086,2.235015662,-0.222156801,-0.14551934,0.001190378,0.099173505,1
0,0,0,0,0.226256647,1,0,1.226256647,5.356925883,36.84884431,356.4276643,-2.904412589,2.104643926,2.167415725,0.001281444,0.099065199,1
1,0,0.378033584,0.525620509,0.227015143,1,1,4.130669236,8.972980528,39.40247462,363.5861302,-0.711642056,-0.091800948,-0.635588621,0.000671956,0.097921727,1
1,0,0.844019162,0.77162671,0.22666542,1,1,4.842311292,7.377379349,37.40733169,370.649421,2.307243235,-1.000684656,-1.236266403,0.000780031,0.097001258,1
1,0,0,0,0.226707454,1,0.308360603,2.535068057,6.455265691,35.16115066,378.0777533,-1.385129577,1.104771644,0.952540037,0.000844819,0.095396061,1
1,0,0.711635896,0.720517609,0.226898741,1,0.261145388,3.920197634,8.686292855,34.244173,387.7802308,-0.845897587,-0.527807204,-0.273671682,0.139927116,0.093302075,1
1,0,0.539149799,1,0.226945422,1,1,4.766095221,7.910556199,32.03868557,399.5158657,1.621634243,-1.30965105,-0.987520269,0.135740085,0.090842917,1
1,0,0.2183555,0.379296187,0.226513699,1,0.320295592,3.144460978,6.977837593,31.60878043,412.4567184,-0.688915637,-0.193168035,0.681563651,0.130394468,0.08806292,1
1,0,0.400294419,0.206122752,0.226959444,1,1,3.833376615,5.131198317,33.52919815,423.682555,2.535554913,-0.462913473,0.148053341,0.122511425,0.084226584,1
0,1,0,0,0.297821702,0,0,1.297821702,5.538288039,36.18018981,434.5143636,-2.942644635,2.037554786,2.55723456,0.086402453,0.061024032,0
1,0,1,1,0.240466337,1,0,4.240466337,6.480805419,40.00683604,442.5642325,2.000127255,-0.339804862,0.008859196,0.000687087,0.000895963,1
1,0,0,0,0.240339082,1,0,2.240339082,7.480651057,44.00731024,443.0544916,-2.999972893,1.860366651,2.108999773,0.00099726,0.000940189,1
1,0,1,1,0.240311975,1,1,5.240311975,8.898255318,46.46576542,439.2253621,1.582368632,-0.539555661,-0.69096598,0.00111513,0.000938599,1
1,0,0.793389646,0.624538244,0.240015453,1,0,3.657943343,7.78218998,44.83566403,432.9824446,-0.466303294,0.934453427,0.722748906,0.001268219,0.000985235,1
1,0,1,0.842564675,0.240279035,1,0.041402927,4.124246637,9.364934267,44.86362814,423.8016241,-1.116440993,0.250489399,0.4147282,0.001040018,0.000878152,1
1,0,1,1,0.24068763,1,1,5.24068763,10.48127962,45.97980784,412.2637233,9.56E-05,-0.642698038,-0.87029378,0.00100206,0.001454606,1
1,0,1,1,0.240591986,1,1,5.240591986,9.939106239,44.97953826,399.2122086,0.542077733,-0.64262001,-0.963295542,0.000925185,0.001664375,1
1,0,1,1,0.240060571,1,0.458453682,4.698514253,7.268153929,42.83461702,385.3914038,2.128874577,-0.300578578,-0.460038795,0.000856252,0.001668866,1
1,0,0.084294294,0.244916927,0.240428455,1,0,2.569639676,7.81015409,44.36100683,373.2690405,-2.670874738,1.599348052,1.497631352,0.000420889,0.001636993,1
